"term","estimate","std.error","X2.5..","X97.5..","bias","rmse","coverage","method","sim_id","missing_type"
"(Intercept)",-0.0381819273943949,0.0471402659706577,-0.130801613107827,0.0544377583190367,-0.0381819273943949,1.04725932600032,1,"single",1,"MAR_0.1"
"V1",0.125982133203403,0.0553752350099363,0.0171826439065003,0.234781622500306,-0.0740178667965971,1.04725932600032,1,"single",1,"MAR_0.1"
"V2",0.203908404991182,0.0588659388785816,0.0882504924636203,0.319566317518743,0.0039084049911815,1.04725932600032,1,"single",1,"MAR_0.1"
"V3",0.199170927125112,0.0597733257316725,0.0817302099522382,0.316611644297987,-0.000829072874887538,1.04725932600032,1,"single",1,"MAR_0.1"
"V4",0.19499113714429,0.0616490104119061,0.0738651347486119,0.316117139539969,-0.00500886285570951,1.04725932600032,1,"single",1,"MAR_0.1"
"(Intercept)",-0.0381768619523596,0.0471554791355141,-0.130827413404537,0.0544736894998181,-0.0381768619523596,1.04765074735066,1,"multiple",1,"MAR_0.1"
"V1",0.127909715512517,0.0553968651132988,0.0190657359739385,0.236753695051096,-0.0720902844874829,1.04765074735066,1,"multiple",1,"MAR_0.1"
"V2",0.206856739897214,0.0589028228673542,0.0911250668261506,0.322588412968278,0.00685673989721439,1.04765074735066,1,"multiple",1,"MAR_0.1"
"V3",0.199062740389215,0.0598499580131165,0.0814696886234134,0.316655792155016,-0.000937259610785307,1.04765074735066,1,"multiple",1,"MAR_0.1"
"V4",0.187837397017174,0.0620718288163599,0.0658654566445756,0.309809337389773,-0.012162602982826,1.04765074735066,1,"multiple",1,"MAR_0.1"
"(Intercept)",-0.0381682418595457,0.0471407662081567,-0.130788910423604,0.0544524267045123,-0.0381682418595457,1.04726259186006,1,"vae",1,"MAR_0.1"
"V1",0.126015542176341,0.0553751385149691,0.0172162424696616,0.234814841883021,-0.0739844578236588,1.04726259186006,1,"vae",1,"MAR_0.1"
"V2",0.203896233552931,0.0588672141397832,0.0882358154329796,0.319556651672883,0.00389623355293113,1.04726259186006,1,"vae",1,"MAR_0.1"
"V3",0.199161862275467,0.0597741138240821,0.0817195966838515,0.316604127867082,-0.000838137724533145,1.04726259186006,1,"vae",1,"MAR_0.1"
"V4",0.194944447344071,0.0616494498126318,0.0738175816279106,0.316071313060231,-0.00505555265592915,1.04726259186006,1,"vae",1,"MAR_0.1"
"(Intercept)",-0.0336503330358244,0.047037929990835,-0.126068952291671,0.0587682862200218,-0.0336503330358244,1.0448794529035,1,"single",1,"MAR_0.25"
"V1",0.126472654307615,0.0553065039942108,0.0178082055104674,0.235137103104762,-0.0735273456923851,1.0448794529035,1,"single",1,"MAR_0.25"
"V2",0.215684868046743,0.0584030691294945,0.100936387186653,0.330433348906834,0.0156848680467434,1.0448794529035,1,"single",1,"MAR_0.25"
"V3",0.196570428055398,0.0596091384966351,0.0794523007066195,0.313688555404176,-0.00342957194460247,1.0448794529035,1,"single",1,"MAR_0.25"
"V4",0.194748666547124,0.0614275091271353,0.0740578627859499,0.315439470308299,-0.00525133345287551,1.0448794529035,1,"single",1,"MAR_0.25"
"(Intercept)",-0.032478711502725,0.047295057933215,-0.125406529410237,0.0604491064047874,-0.032478711502725,1.04687083399684,1,"multiple",1,"MAR_0.25"
"V1",0.1193922623048,0.0556527632830601,0.0100438910615623,0.228740633548037,-0.0806077376952003,1.04687083399684,1,"multiple",1,"MAR_0.25"
"V2",0.204520585101903,0.058683667100386,0.0892186820175433,0.319822488186263,0.00452058510190315,1.04687083399684,1,"multiple",1,"MAR_0.25"
"V3",0.211151180845938,0.0597197663342637,0.0938119644442061,0.328490397247669,0.0111511808459375,1.04687083399684,1,"multiple",1,"MAR_0.25"
"V4",0.196578324301891,0.0617703616663755,0.0752107338131255,0.317945914790656,-0.00342167569810917,1.04687083399684,1,"multiple",1,"MAR_0.25"
"(Intercept)",-0.0337079855490669,0.0470384750183333,-0.126127675657496,0.0587117045593626,-0.0337079855490669,1.04496414836967,1,"vae",1,"MAR_0.25"
"V1",0.126387967328044,0.0553067657817484,0.0177230041791219,0.235052930476966,-0.073612032671956,1.04496414836967,1,"vae",1,"MAR_0.25"
"V2",0.215806710457203,0.0584054278140714,0.101053595329153,0.330559825585254,0.0158067104572034,1.04496414836967,1,"vae",1,"MAR_0.25"
"V3",0.196456756007692,0.0596051562281369,0.0793464528925943,0.313567059122789,-0.00354324399230843,1.04496414836967,1,"vae",1,"MAR_0.25"
"V4",0.194789377476592,0.0614268985505259,0.0740997733567961,0.315478981596388,-0.00521062252340813,1.04496414836967,1,"vae",1,"MAR_0.25"
"(Intercept)",-0.0388863446230236,0.0469875968312553,-0.131206070897992,0.0534333816519443,-0.0388863446230236,1.04436874641395,1,"single",1,"MAR_0.5"
"V1",0.109516904667915,0.0554417050237259,0.000586817215491309,0.218446992120339,-0.0904830953320847,1.04436874641395,1,"single",1,"MAR_0.5"
"V2",0.202623971441603,0.0583970283593722,0.0878873592932955,0.31736058358991,0.00262397144160278,1.04436874641395,1,"single",1,"MAR_0.5"
"V3",0.193870358540921,0.0599130818864961,0.0761550529483646,0.311585664133477,-0.00612964145907904,1.04436874641395,1,"single",1,"MAR_0.5"
"V4",0.208810661072828,0.0615772729048252,0.0878256062348872,0.329795715910768,0.00881066107282757,1.04436874641395,1,"single",1,"MAR_0.5"
"(Intercept)",-0.039988980359285,0.0471686542898467,-0.132667212253413,0.052689251534843,-0.039988980359285,1.04561484568497,1,"multiple",1,"MAR_0.5"
"V1",0.121187734719008,0.055476423870877,0.0121771846266013,0.230198284811414,-0.0788122652809922,1.04561484568497,1,"multiple",1,"MAR_0.5"
"V2",0.200811478577812,0.058590401901849,0.0856909659722122,0.315931991183412,0.000811478577812247,1.04561484568497,1,"multiple",1,"MAR_0.5"
"V3",0.189587828576254,0.0598261488305062,0.0720368314059845,0.307138825746523,-0.0104121714237461,1.04561484568497,1,"multiple",1,"MAR_0.5"
"V4",0.20200812608006,0.062428697443992,0.0793312588553558,0.324684993304765,0.00200812608006046,1.04561484568497,1,"multiple",1,"MAR_0.5"
"(Intercept)",-0.0388193974892058,0.0469877761463342,-0.131139476076701,0.0535006810982895,-0.0388193974892058,1.04436648487416,1,"vae",1,"MAR_0.5"
"V1",0.109515263569538,0.0554408774204618,0.000586802165516895,0.218443724973558,-0.0904847364304624,1.04436648487416,1,"vae",1,"MAR_0.5"
"V2",0.202719877171542,0.0583956432347712,0.0879859864717159,0.317453767871369,0.00271987717154231,1.04436648487416,1,"vae",1,"MAR_0.5"
"V3",0.193979418853085,0.0599165264265062,0.0762573455385696,0.3117014921676,-0.00602058114691495,1.04436648487416,1,"vae",1,"MAR_0.5"
"V4",0.208617999859896,0.061568437221796,0.0876503050891592,0.329585694630634,0.00861799985989644,1.04436648487416,1,"vae",1,"MAR_0.5"
"(Intercept)",-0.0391570662659379,0.0470977509607438,-0.131693219848711,0.0533790873168352,-0.0391570662659379,1.04655749839918,1,"single",1,"MCAR_0.1"
"V1",0.131417738731927,0.0552697666588157,0.0228254702754753,0.240010007188379,-0.0685822612680727,1.04655749839918,1,"single",1,"MCAR_0.1"
"V2",0.205945670815695,0.0586833323815349,0.0906465376886618,0.321244803942728,0.00594567081569478,1.04655749839918,1,"single",1,"MCAR_0.1"
"V3",0.197542582199512,0.0597508129702301,0.0801460973797312,0.314939067019293,-0.00245741780048803,1.04655749839918,1,"single",1,"MCAR_0.1"
"V4",0.189528214815415,0.0616165945830775,0.0684659020026526,0.310590527628177,-0.0104717851845853,1.04655749839918,1,"single",1,"MCAR_0.1"
"(Intercept)",-0.0403173415096815,0.0471737438717294,-0.133004059410179,0.0523693763908157,-0.0403173415096815,1.04757519226872,1,"multiple",1,"MCAR_0.1"
